Taxon	HV05_foot	HV01_other	HV08_other	HV04_foot	HV11_foot	HV08_foot	HV11_other	HV03_foot	HV05_other	HV09_foot	HV03_other	HV06_other	HV06_foot	HV09_other	HV07_foot	HV02_foot	HV12_other	HV04_other	HV10_other	HV10_foot	HV01_foot	HV02_other	HV12_foot																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sW2grey.CDS.10481445633.1_sW2grey.polypeptide.10481445632.1_bacterial;seqs=1;	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sFRI909.CDS.10481423890.1_sFRI909.polypeptide.10481423892.1_conserved;seqs=1;	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=s12142587.CDS.10690192585.1_s12142587.polypeptide.10690192586.1_helix_turn_helix;seqs=1;	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU128.CDS.10636272650.1_sVCU128.polypeptide.10636272654.1_conserved;seqs=1;	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05001.CDS.10679407788.1_sNIH05001.polypeptide.10679407792.1_hlyD;seqs=28;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=seRP62A.CDS.10441903602.1_seRP62A.polypeptide.10441903604.1_cytochrome;seqs=6;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655605417.1_sNIHLM053.polypeptide.10655605419.1_conserved;seqs=1;	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655600983.1_sNIHLM053.polypeptide.10655600987.1_DHH;seqs=1;	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM001.CDS.10679432298.1_sNIHLM001.polypeptide.10679432302.1_hypothetical;seqs=2;	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH051668.CDS.10679518559.1_sNIH051668.polypeptide.10679518560.1_helix_turn_helix;seqs=10;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
