Taxon	HV05_foot	HV01_other	HV08_other	HV04_foot	HV11_foot	HV08_foot	HV11_other	HV03_foot	HV05_other	HV09_foot	HV03_other	HV06_other	HV06_foot	HV09_other	HV07_foot	HV02_foot	HV12_other	HV04_other	HV10_other	HV10_foot	HV01_foot	HV02_other	HV12_foot																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636419708.1_sVCU120.polypeptide.10636419709.1_ribosomal;seqs=5;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU081.CDS.10636246096.1_sVCU081.polypeptide.10636246098.1_conserved;seqs=2;	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU041.CDS.10636313299.1_sVCU041.polypeptide.10636313298.1_putative;seqs=3;	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sBVS058A4.CDS.10636620412.1_sBVS058A4.polypeptide.10636620414.1_ferritin_like;seqs=1;	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM049.CDS.10655548500.1_sNIHLM049.polypeptide.10655548502.1_endonuclease;seqs=14;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655613633.1_sNIHLM053.polypeptide.10655613632.1_kanamycin;seqs=7;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU125.CDS.10636543501.1_sVCU125.polypeptide.10636543502.1_phage;seqs=8;	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU105.CDS.10495915984.1_sVCU105.polypeptide.10495915982.1_ADP_ribosylglycohydrolase;seqs=4;	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH08001.CDS.10679475014.2_sNIH08001.polypeptide.10679475020.2_phenylalanine__tRNA;seqs=18;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM057.CDS.10655576496.1_sNIHLM057.polypeptide.10655576494.1_surface;seqs=3;	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sSK135.CDS.10481267867.1_sSK135.polypeptide.10481267866.1_amino;seqs=17;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU129.CDS.10636235721.1_sVCU129.polypeptide.10636235724.1_hypothetical;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU071.CDS.10495945820.1_sVCU071.polypeptide.10495945819.1_putative;seqs=1;	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU105.CDS.10495914388.1_sVCU105.polypeptide.10495914389.1_tryptophan__tRNA;seqs=20;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sW2grey.CDS.10481442137.1_sW2grey.polypeptide.10481442135.1_dnaD;seqs=2;	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636426872.1_sVCU120.polypeptide.10636426874.1_hypothetical;seqs=3;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU045.CDS.10495814538.1_sVCU045.polypeptide.10495814537.1_fecCD;seqs=17;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655601189.1_sNIHLM053.polypeptide.10655601187.1_conserved;seqs=11;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM095.CDS.10636201132.1_sNIHLM095.polypeptide.10636201134.1_serine_rich;seqs=37;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=seRP62A.CDS.10441896502.1_seRP62A.polypeptide.10441896503.1_deoR_like;seqs=13;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM087.CDS.10655576123.1_sNIHLM087.polypeptide.10655576124.1_putative;seqs=1;	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU057.CDS.10636292019.1_sVCU057.polypeptide.10636292025.1_tRNA;seqs=22;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636421014.1_sVCU120.polypeptide.10636421013.1_HTH_type;seqs=14;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sHMP0060.CDS.10481294258.1_sHMP0060.polypeptide.10481294261.1_pemK_like;seqs=1;	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU071.CDS.10495950939.1_sVCU071.polypeptide.10495950938.1_hypothetical;seqs=1;	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU041.CDS.10636312872.1_sVCU041.polypeptide.10636312873.1_LPXTG;seqs=3;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM067.CDS.10655561272.1_sNIHLM067.polypeptide.10655561266.1_phosphate;seqs=24;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=se12228.CDS.10441891920.1_se12228.polypeptide.10441891919.1_conserved;seqs=19;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sW2grey.CDS.10481449468.1_sW2grey.polypeptide.10481449470.1_putative;seqs=4;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05005.CDS.10679502712.1_sNIH05005.polypeptide.10679502713.1_malate;seqs=24;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sAU1203.CDS.10689848433.1_sAU1203.polypeptide.10689848434.1_conserved;seqs=2;	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655595980.1_sNIHLM053.polypeptide.10655595979.1_pyridoxal_phosphate;seqs=1;	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU144.CDS.10481250125.1_sVCU144.polypeptide.10481250126.1_transcriptional;seqs=12;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU117.CDS.10636220436.1_sVCU117.polypeptide.10636220437.1_ribosomal;seqs=3;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05005.CDS.10679504170.1_sNIH05005.polypeptide.10679504169.1_MTA_SAH;seqs=16;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sFRI909.CDS.10481424095.1_sFRI909.polypeptide.10481424097.1_conserved;seqs=1;	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=s141R1SE.CDS.10496041893.1_s141R1SE.polypeptide.10496041896.1_conserved;seqs=3;	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
"centroid=sNIH05001.CDS.10679412388.1_sNIH05001.polypeptide.10679412394.1_transporter,;seqs=24;"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH04008.CDS.10679445134.1_sNIH04008.polypeptide.10679445132.1_galactose_6_phosphate;seqs=10;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=seRP62A.CDS.10441894918.1_seRP62A.polypeptide.10441894919.1_accessory;seqs=26;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM067.CDS.10655554274.1_sNIHLM067.polypeptide.10655554275.1_copper_translocating;seqs=26;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sHMP0060.CDS.10481298813.1_sHMP0060.polypeptide.10481298814.1_aminotransferase;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH04003.CDS.10683410869.1_sNIH04003.polypeptide.10683410870.1_fructose_bisphosphate;seqs=17;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU041.CDS.10636308773.1_sVCU041.polypeptide.10636308774.1_ACT;seqs=16;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM018.CDS.10667197346.1_sNIHLM018.polypeptide.10667197344.1_putative;seqs=5;	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655596740.1_sNIHLM053.polypeptide.10655596737.1_glyoxalase_bleomycin;seqs=1;	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU057.CDS.10636289327.1_sVCU057.polypeptide.10636289336.1_hypothetical;seqs=6;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU128.CDS.10636293946.1_sVCU128.polypeptide.10636293948.1_conserved;seqs=1;	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655605023.1_sNIHLM053.polypeptide.10655605021.1_conserved;seqs=5;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU037.CDS.10495833582.1_sVCU037.polypeptide.10495833585.1_cytidylyltransferase;seqs=14;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05001.CDS.10679394023.1_sNIH05001.polypeptide.10679394015.1_NAD_dependent;seqs=6;	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sSK135.CDS.10481266873.1_sSK135.polypeptide.10481266872.1_aldehyde;seqs=20;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655606293.1_sNIHLM053.polypeptide.10655606289.1_conserved;seqs=6;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH051668.CDS.10679509278.1_sNIH051668.polypeptide.10679509280.1_rhodanese_like;seqs=2;	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU071.CDS.10495956165.1_sVCU071.polypeptide.10495956163.1_na(+)_H(+);seqs=12;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
"centroid=sNIH051668.CDS.10679514654.2_sNIH051668.polypeptide.10679514653.2_transposase,;seqs=7;"	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU120.CDS.10636427707.1_sVCU120.polypeptide.10636427709.1_succinate;seqs=19;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM001.CDS.10679407870.1_sNIHLM001.polypeptide.10679407861.1_sortase;seqs=2;	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM031.CDS.10668338281.1_sNIHLM031.polypeptide.10668338283.1_putative;seqs=1;	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=se12228.CDS.10441892353.1_se12228.polypeptide.10441892354.1_na+_H+;seqs=20;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
